,Artist,Count
265,The Beatles,21
6,Elvis Presley,12
5,Brenda Lee,10
203,The Beach Boys,9
16,Roy Orbison,8
270,The Supremes,8
243,Marvin Gaye,8
308,The Temptations,8
60,Ray Charles,7
8,Chubby Checker,7
9,Connie Francis,7
65,Ricky Nelson,7
279,The Dave Clark Five,7
89,The Shirelles,6
174,Frankie Valli & The Four Seasons,6
25,Sam Cooke,6
323,The Rolling Stones,6
327,Herman's Hermits,6
10,Bobby Rydell,6
113,Dion,6
2,The Everly Brothers,6
290,Johnny Rivers,5
50,Bobby Vee,5
326,Petula Clark,5
221,Martha Reeves & The Vandellas,5
287,Dionne Warwick,5
359,The Turtles,5
26,Bobby Darin,5
23,Brook Benton,5
396,Tommy James & The Shondells,5
332,Gary Lewis & The Playboys,5
380,The Monkees,5
299,Four Tops,5
143,Bobby Vinton,5
338,Tom Jones,5
172,Booker T. & the M.G.'s,4
101,Gary U.S. Bonds,4
208,Stevie Wonder,4
219,Lesley Gore,4
325,The Righteous Brothers,4
201,Paul and Mary,4
412,Neil Diamond,4
200,Peter,4
281,Peter And Gordon,4
384,Paul Revere & The Raiders,4
28,Jackie Wilson,4
382,The Association,4
22,The Drifters,4
478,Whitney Houston,4
386,The Young Rascals,4
158,Jay & The Americans,4
311,The Kinks,4
153,Tommy Roe,4
19,Paul Anka,4
366,The Lovin' Spoonful,4
179,Henry Mancini,3
427,The Box Tops,3
523,*NSYNC,3
181,Gene Pitney,3
142,Dee Dee Sharp,3
433,The Buckinghams,3
83,Del Shannon with Orchestra,3
331,Sonny & Cher,3
514,JAY-Z,3
151,Mary Wells,3
417,Wilson Pickett,3
508,Shania Twain,3
456,The 5th Dimension,3
157,Nat King Cole,3
432,Aretha Franklin,3
315,The Kingsmen,3
316,The Searchers,3
513,Mariah Carey,3
515,98º,3
162,The Isley Brothers,3
377,The Mamas & The Papas,3
213,Al Martino,3
68,Johnny Tillotson,3
47,Andy Williams,3
363,Smokey Robinson & The Miracles,3
32,Steve Lawrence,3
206,The Chiffons,3
349,The Yardbirds,3
59,Neil Sedaka,3
367,Cher,3
479,Faith Evans,3
21,The Ventures,3
345,Bob Dylan,3
235,Lou Christie,3
489,The Goo Goo Dolls,3
304,Roger Miller,3
575,Creedence Clearwater Revival,3
492,R. Kelly,3
255,The Impressions,3
218,Jan & Dean,3
399,The Hollies,3
263,The New Christy Minstrels,2
297,The Shangri-Las,2
476,TLC,2
458,The Cowsills,2
267,Dean Martin,2
429,The Doors,2
294,Gerry & The Pacemakers,2
227,Barbara Lewis,2
229,Major Lance,2
454,The Tremeloes,2
156,The Marvelettes,2
447,Tammi Terrell,2
520,Ms. Lauryn Hill,2
154,The Orlons,2
448,Jefferson Airplane,2
465,The Grass Roots,2
453,Diana Ross & The Supremes,2
195,Jimmy Soul,2
481,Britney Spears,2
167,Burl Ives,2
495,Sarah McLachlan,2
187,The Crystals,2
491,Backstreet Boys,2
184,Chris Montez,2
490,Brandy,2
199,The Kingston Trio,2
284,Jerry Butler,2
180,Ray Stevens,2
285,Betty Everett,2
286,Dusty Springfield,2
204,Skeeter Davis,2
288,The Animals,2
274,Billy J. Kramer,2
509,Will Smith,2
510,Dru Hill,2
486,Ricky Martin,2
272,Al Hirt,2
211,The Tymes,2
212,The Surfaris,2
275,The Dakotas,2
484,Sugar Ray,2
423,Mark Lindsay,2
125,Carla Thomas,2
138,Eddie Hodges,2
391,Sandy Posey,2
51,The Four Preps,2
56,Ray Peterson,2
57,Fats Domino,2
585,The Guess Who,2
580,Sweat & Tears,2
579,Blood,2
400,B.J. Thomas,2
576,Oliver,2
574,The Friends Of Distinction,2
572,Three Dog Night,2
570,Sly & The Family Stone,2
79,Bobby Lewis,2
80,Patsy Cline,2
82,The Highwaymen,2
403,Simon & Garfunkel,2
354,The Beau Brummels,2
356,Jackie DeShannon,2
93,Sue Thompson,2
45,Ferrante & Teicher,2
3,Johnny Preston,2
7,Jimmy Jones,2
12,Jack Scott,2
13,Marty Robbins,2
15,Brian Hyland,2
381,Nancy Sinatra,2
383,Frank Sinatra,2
27,Jimmy Clanton,2
33,Freddy Cannon,2
34,Anita Bryant,2
37,Marv Johnson,2
38,Hank Locklin,2
388,The Happenings,2
360,The Zombies,2
390,Donovan,2
334,The Seekers,2
341,James Brown,2
95,The Dovells,2
105,Linda Scott,2
137,Jimmy Dean,2
305,Bobby Goldsboro,2
131,Bert Kaempfert,2
312,Sammy Davis Jr.,2
126,Ben E. King,2
124,Adam Wade,2
122,Pat Boone,2
121,The Lettermen,2
543,Case,2
544,Diddy,2
413,Lou Rawls,2
322,Sam The Sham & The Pharaohs,2
118,Lee Dorsey,2
98,Dick & Dee Dee,2
99,Floyd Cramer,2
96,The Miracles,2
330,Jr. Walker & The All Stars,2
249,Johnny Cash,2
410,The Ray Conniff Singers,1
442,Brenton Wood,1
404,The Standells,1
418,Shades Of Blue,1
443,Eddie Miller,1
405,Count Five,1
385,Sgt. Barry Sadler,1
444,Robert Yount,1
419,The Vogues,1
445,Dub Williams,1
446,Engelbert Humperdinck,1
426,Lulu,1
420,Los Bravos,1
425,Mitch Ryder and The Detroit Wheels,1
449,The Esquires,1
424,Herb Alpert & The Tijuana Brass,1
450,Van Morrison,1
451,Procol Harum,1
421,Slim Harpo,1
379,Jimmy Ruffin,1
452,The Casinos,1
406,The T-Bones,1
378,? & The Mysterians,1
422,The Bobby Fuller Four,1
455,Ed Ames,1
428,Bobbie Gentry,1
387,Bobby Hebb,1
436,Sam & Dave,1
437,Jay & The Techniques,1
411,David Houston,1
408,Deon Jackson,1
414,The Shadows Of Knight,1
398,The Outsiders,1
397,Percy Sledge,1
431,Music Explosion,1
415,The Sandpipers,1
430,Frankie Valli,1
439,Strawberry Alarm Clock,1
395,The Capitols,1
394,The Left Banke,1
393,Roger Williams,1
392,The Cyrkle,1
435,The Soul Survivors,1
407,Robert Parker,1
401,The Troggs,1
440,Vikki Carr,1
402,Bob Lind,1
434,Arthur Conley,1
416,James & Bobby Purify,1
389,The Mindbenders,1
441,Buffalo Springfield,1
438,Every Mother's Son,1
409,Crispian St. Peters,1
0,Percy Faith,1
457,Scott McKenzie,1
559,Blackstreet,1
577,Billy Preston,1
573,The Youngbloods,1
571,The Foundations,1
569,The Archies,1
568,Alabama,1
567,George Strait,1
566,Gloria Estefan,1
565,Citizen King,1
564,Jo Dee Messina,1
563,Joey McIntyre,1
562,Blinky Blink,1
561,Mase,1
560,Mýa,1
558,Zhané,1
541,Mark Chesnutt,1
557,Naughty By Nature,1
556,Fastball,1
555,Mo Thugs,1
554,Lonestar,1
553,Kenny Chesney,1
552,Brian McKnight,1
551,Joe,1
550,Ginuwine,1
549,Marc Anthony,1
548,LEN,1
547,Mannie Fresh,1
546,Lil Wayne,1
545,JUVENILE,1
578,Zager & Evans,1
581,Andy Kim,1
582,Smith,1
583,Bobby Sherman,1
611,The Edwin Hawkins Singers,1
610,The Originals,1
609,Crazy Elephant,1
608,Bob Seger,1
607,Gary Puckett & The Union Gap,1
606,The Dells,1
605,The Cuff Links,1
604,Joe South,1
603,Kenny Rogers & The First Edition,1
602,Tony Joe White,1
601,Flying Machine,1
600,Joe Simon,1
599,Brooklyn Bridge,1
598,Harry Nilsson,1
597,Motherlode,1
596,New Colony Six,1
595,Edwin Starr,1
594,1910 Fruitgum Company,1
593,Sonny Charles And The Checkmates Ltd,1
592,The Winstons,1
591,Tyrone Davis,1
590,Glen Campbell,1
589,Cass Elliot,1
588,Dennis Yost & The Classics IV,1
587,The Spiral Starecase,1
586,Charles Wright & The Watts 103rd Street Rhythm Band,1
584,Mercy,1
542,Chanté Moore,1
540,"Kevin ""K.D."" Davis",1
459,The Five Americans,1
475,The Who,1
376,Del Shannon,1
498,Destiny's Child,1
497,Rob Thomas,1
496,Santana,1
494,Smash Mouth,1
493,Céline Dion,1
488,Jennifer Lopez,1
487,702,1
485,Deborah Cox,1
483,Christina Aguilera,1
482,Sixpence None The Richer,1
480,Kelly Price,1
477,Monica,1
474,The Electric Prunes,1
539,Eric Benét,1
473,Bill Cosby,1
472,Robert Knight,1
471,Janis Ian,1
470,The Royal Guardsmen,1
469,Keith,1
468,James Brown & The Famous Flames,1
467,Aaron Neville,1
466,Peaches & Herb,1
464,The Hombres,1
463,The Spencer Davis Group,1
462,The Bar-Kays,1
461,The Easybeats,1
460,The Blues Magoos,1
500,Pearl Jam,1
