,Genre,Count
6,motown,130
7,disco,120
17,soul,114
3,classic rock,108
12,soft rock,88
10,rock,73
23,philly soul,62
5,northern soul,59
35,pop,57
2,adult standards,40
33,country,37
14,singer-songwriter,36
0,folk rock,36
52,glam rock,35
19,Unknown,32
22,quiet storm,31
76,album rock,28
42,classic pop and rock,26
1,christmas,24
31,southern rock,23
4,2008 universal fire victim,22
32,country rock,21
30,art rock,21
38,folk,18
9,psychedelic rock,18
26,progressive rock,16
69,symphonic rock,16
53,hard rock,15
16,funk,15
25,blues rock,13
39,blues,13
48,post-disco,11
64,jazz,11
51,soul blues,11
37,power pop,10
41,proto-punk,10
34,british,9
73,glam metal,9
44,doo-wop,9
66,smooth soul,8
100,hi-nrg,8
46,rockabilly,8
72,traditional country,7
8,acid rock,7
13,bubblegum pop,6
40,baroque pop,6
18,funk rock,6
49,jazz blues,6
97,mariachi,5
24,audio drama,5
99,smooth jazz,5
27,nederpop,5
83,jazz funk,5
95,aln-sh,4
65,classical,4
36,jangle pop,4
54,musicals,4
47,rock and roll,4
114,aor,3
85,jazz fusion,3
11,comedy,3
118,blue-eyed soul,3
96,country pop,2
94,tejano,2
92,honky tonk,2
89,ragtime,2
86,pop rock,2
105,adult contemporary,2
101,soul jazz,2
109,soundtrack,2
60,christmas music,2
55,pop soul,2
20,contemporary folk,2
56,american,2
57,candy,2
58,bluegrass,2
59,roots rock,2
61,big band,2
43,garage rock,2
15,pinoy rock,2
113,dance-pop,1
116,audiobook,1
29,avant-garde,1
119,hard bop,1
102,lullaby,1
117,film soundtrack,1
103,children's music,1
104,alternative rock,1
28,art pop,1
112,ballad,1
106,schlager,1
115,boogie,1
107,film composer,1
45,latin rock,1
21,gospel,1
110,opera,1
111,orchestra,1
108,united states,1
71,christian country,1
98,cool jazz,1
50,classic blues,1
68,r&b,1
74,breakbeat,1
75,70s,1
67,ambient,1
77,hip hop,1
78,_edit,1
79,broadway theatre,1
80,british folk rock,1
81,alliteration,1
82,indie folk,1
63,swing music,1
84,brazilian jazz,1
62,vocal jazz,1
87,european,1
88,boogie rock,1
90,trova,1
91,new age,1
93,nu disco,1
70,instrumental,1
120,new wave,1
