Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Call Me,Blondie,new wave,212226,False,68,184,US
"Another Brick in the Wall, Pt. 2",Pink Floyd,"psychedelic rock, art rock, classic rock, symphonic rock, progressive rock, rock",238746,False,80,185,Unknown
Magic - Remastered 2022,Olivia Newton-John,classic pop and rock,272705,False,0,183,AU
Rock with You - Single Version,Michael Jackson,pop,220626,False,78,185,US
Do That To Me One More Time,Captain & Tennille,soft rock,256666,False,65,165,US
Crazy Little Thing Called Love - Remastered 2011,Queen,"glam rock, rock, classic rock",163373,False,77,182,GB
Coming Up - Remastered 2011,Paul McCartney,pop,231880,False,50,184,GB
Funkytown - Single Version,Lipps Inc.,disco,234800,False,0,0,US
It's Still Rock and Roll to Me,Billy Joel,soft rock,176440,False,68,185,US
The Rose - 2015 Remaster,Bette Midler,pop,214520,False,25,2,US
Escape (The Pina Colada Song),Rupert Holmes,Unknown,276493,False,74,184,US
Cars,Gary Numan,"synthpop, new wave, industrial, industrial rock",238906,False,60,185,GB
Cruisin',Smokey Robinson,"quiet storm, motown",352920,False,60,184,US
"Medley: Working My Way Back to You / Forgive Me, Girl",The Spinners,"northern soul, philly soul, motown, soul",243200,False,42,184,GB
Lost In Love,Air Supply,soft rock,233866,False,66,185,AU
Little Jeannie,Elton John,pop,313186,False,55,184,GB
Ride Like the Wind,Christopher Cross,soft rock,275506,False,62,184,US
Upside Down,Diana Ross,"disco, motown",244826,False,1,0,US
Please Don't Go,KC & The Sunshine Band,disco,230440,False,64,167,US
Babe,Styx,"progressive rock, album rock, classic rock",265973,False,65,184,US
With You I'm Born Again,"Billy Preston, Syreeta",motown,223466,False,18,184,"US, US"
Shining Star,The Manhattans,"philly soul, motown",281853,False,53,185,GB
Still,Commodores,motown,347093,False,46,183,US
Yes I'm Ready,"Teri DeSario, KC & The Sunshine Band",disco,198600,False,0,0,"US, US"
Sexy Eyes - Single Version,Dr. Hook,rock,180000,False,54,184,US
Steal Away,Robbie Dupree,"soft rock, album rock",206733,False,55,183,US
Biggest Part of Me,Ambrosia,soft rock,324040,False,63,185,US
This Is It,Kenny Loggins,pop,236733,False,56,185,US
Cupid / I've Loved You for a Long Time,The Spinners,"northern soul, philly soul, motown, soul",236693,False,22,183,GB
Let's Get Serious,Jermaine Jackson,alliteration,477266,False,27,184,US
Don't Fall In Love With A Dreamer,"Kenny Rogers, Kim Carnes",country,222066,False,56,184,"US, US"
Sailing,Christopher Cross,soft rock,256146,False,70,184,US
Longer,Dan Fogelberg,soft rock,195066,False,59,185,US
Coward Of The County,Kenny Rogers,country,258733,False,66,184,US
Ladies Night - Single Version,Kool & The Gang,"disco, funk",205680,False,44,182,US
Too Hot,Kool & The Gang,"disco, funk",295160,False,52,184,US
Take Your Time (Do It Right),The S.O.S Band,"post-disco, quiet storm",460800,False,48,182,US
No More Tears (Enough Is Enough) (feat. Donna Summer),"Barbra Streisand, Donna Summer","adult standards, disco, hi-nrg",282493,False,44,185,"US, US"
More Love,Kim Carnes,pop,218160,False,32,184,US
Pop Muzik - 12 Inch Version,"M, Robin Scott, Nick Launay",synthpop,296466,False,0,0,"Unknown, US, GB"
Brass in Pocket,Pretenders,rock,184093,False,48,182,GB
Special Lady,"Ray, Goodman & Brown","smooth soul, quiet storm",260160,False,20,184,"US, US"
Send One Your Love,Stevie Wonder,"motown, soul",242333,False,39,184,US
The Second Time Around,Shalamar,"post-disco, disco",224266,False,48,137,US
We Don't Talk Anymore - 2001 Remaster,Cliff Richard,christmas,257160,False,52,185,GB
Stomp! - Single Version,The Brothers Johnson,disco,247133,False,61,184,US
Heartache Tonight - 2013 Remaster,Eagles,"soft rock, classic rock",265678,False,60,170,US
Tired of Toein' the Line,Rocky Burnette,rockabilly,223373,False,0,0,US
Better Love Next Time,Dr. Hook,rock,183133,False,39,184,US
Him,Rupert Holmes,Unknown,246293,False,53,184,US
Against The Wind,Bob Seger,classic rock,333720,False,68,184,US
On The Radio,Donna Summer,"disco, hi-nrg",241506,False,62,184,US
Emotional Rescue - Remastered 2009,The Rolling Stones,"rock, classic rock",339400,False,53,184,GB
Rise,Herb Alpert,smooth jazz,457400,False,55,185,US
All Out of Love,Air Supply,soft rock,243000,False,71,185,AU
Cool Change - Remastered 2010,Little River Band,soft rock,313320,False,0,0,AU
You're Only Lonely,JD Souther,"country rock, album rock",228000,False,48,182,US
Desire,"Barry Gibb, Maurice Gibb, Robin Gibb, Andy Gibb",new wave,268706,False,0,0,"AU, FR, GB, AU"
Let My Love Open The Door,Pete Townshend,art rock,164653,False,57,184,GB
Romeo's Tune,Steve Forbert,singer-songwriter,212471,False,57,185,US
Daydream Believer,Anne Murray,country,147133,False,40,184,CA
I Can't Tell You Why - 2013 Remaster,Eagles,"soft rock, classic rock",295049,False,65,170,US
Don't Let Go,Isaac Hayes,soul,435160,False,33,184,US
Don't Do Me Like That,Tom Petty and the Heartbreakers,classic rock,161786,False,61,184,US
She's Out of My Life,Michael Jackson,pop,218266,False,57,185,US
Fame,Irene Cara,dance-pop,316066,False,66,184,US
