Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Every Breath You Take,The Police,new wave,253920,False,89,184,GB,Rock
Billie Jean,Michael Jackson,pop,293826,False,77,185,US,Pop
Flashdance...What A Feeling,Irene Cara,dance-pop,233240,False,2,184,US,Unknown
Down Under,Men At Work,rock,222320,False,76,185,AU,Rock
Beat It,Michael Jackson,pop,258040,False,74,185,US,Pop
Total Eclipse of the Heart,Bonnie Tyler,pop rock,418000,False,0,0,GB,Rock
Maneater,Daryl Hall & John Oates,soft rock,273173,False,81,185,US,Rock
"Baby, Come To Me","Patti Austin, James Ingram","2008 universal fire victim, soul",215386,False,0,0,"US, US",Unknown
Maniac,Michael Sembello,pop,244706,False,76,184,US,Pop
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart","new wave, synthpop",216933,False,82,185,"GB, GB, GB",Rock
Do You Really Want To Hurt Me,Culture Club,pop,262173,False,66,184,GB,Pop
You And I,"Eddie Rabbitt, Crystal Gayle","country, country pop",241040,False,51,183,"US, US",Country
Come On Eileen,Dexys Midnight Runners,new wave,287306,False,75,184,GB,Rock
Shame On The Moon,Bob Seger,classic rock,295053,False,54,184,US,Rock
She Works Hard For The Money,Donna Summer,"hi-nrg, disco",320840,False,59,184,US,R&B
Never Gonna Let You Go,Sérgio Mendes,"bossa nova, samba, brazilian jazz",255600,False,62,184,BR,Jazz
Hungry Like the Wolf - 2009 Remaster,Duran Duran,"new wave, synthpop",220626,False,72,172,GB,Rock
Let's Dance - 2018 Remaster,David Bowie,"art rock, glam rock",457675,False,70,185,Unknown,Rock
Twilight Zone,Golden Earring,"classic rock, nederpop",478106,False,50,185,NL,Rock
I Know There's Something Going On,Frida,jazz,326746,False,49,184,SE,Jazz
Jeopardy,The Greg Kihn Band,new wave,229653,False,0,0,US,Rock
Electric Avenue,Eddy Grant,reggae,227933,False,62,185,GB,R&B
She Blinded Me With Science,Thomas Dolby,"new wave, synthpop",221266,False,0,0,GB,Rock
Africa,TOTO,soft rock,295893,False,85,185,US,Rock
Little Red Corvette,Prince,funk rock,296906,True,51,171,US,Rock
Back on the Chain Gang,Pretenders,rock,231026,False,28,1,GB,Rock
"Up Where We Belong - From ""An Officer And A Gentleman""","Joe Cocker, Jennifer Warnes","rock, pop",232666,False,69,184,"GB, US",Rock
Mr. Roboto,Styx,"progressive rock, album rock, classic rock",328706,False,59,184,US,Rock
You Are,Lionel Richie,motown,300880,False,56,184,US,R&B
"Der Kommissar - 7"" Version",After The Fire,new wave,248000,False,49,185,GB,Rock
Puttin' on the Ritz,Taco,electro swing,281160,False,58,185,NL,Easy listening
Sexual Healing,Marvin Gaye,"motown, soul, quiet storm, northern soul",238600,False,74,185,US,R&B
(Keep Feeling) Fascination - Remastered,The Human League,"new wave, synthpop",224733,False,40,183,GB,Rock
Time (Clock Of The Heart),Culture Club,pop,223693,False,0,0,GB,Pop
The Safety Dance,Men Without Hats,"new wave, synthpop",277480,False,0,0,CA,Rock
Mickey - Original Version,Toni Basil,dance,253199,False,3,0,US,Electronic
You Can't Hurry Love - 2016 Remaster,Phil Collins,soft rock,174080,False,49,184,GB,Rock
Separate Ways (Worlds Apart),Journey,"album rock, classic rock",323706,False,6,0,US,Rock
One On One,Daryl Hall & John Oates,soft rock,258013,False,52,185,US,Rock
We've Got Tonight,"Kenny Rogers, Sheena Easton",country,234560,False,65,184,"US, GB",Country
1999,Prince,funk rock,379266,False,58,171,US,Rock
Stray Cat Strut,Stray Cats,"rockabilly, psychobilly",198000,False,48,2,US,Rock
Allentown,Billy Joel,soft rock,230160,False,53,185,US,Rock
Stand Back - 2019 Remaster,Stevie Nicks,rock,290347,False,32,185,US,Rock
Tell Her About It,Billy Joel,soft rock,229200,False,58,185,US,Rock
Always Something There to Remind Me,Naked Eyes,"new wave, synthpop",218933,False,0,0,GB,Rock
Truly,Lionel Richie,motown,200506,False,62,184,US,R&B
Dirty Laundry,Don Henley,rock,336800,False,1,0,US,Rock
The Girl Is Mine (with Paul McCartney),"Michael Jackson, Paul McCartney","pop, pop",222040,False,50,185,"US, GB",Pop
Too Shy,Kajagoogoo,"new wave, synthpop",221520,False,59,185,GB,Rock
Goody Two Shoes,Adam Ant,new wave,209213,False,50,185,GB,Rock
Rock the Casbah - Remastered,The Clash,punk,222426,False,74,185,GB,Rock
Our House,Madness,ska,201133,False,56,2,GB,Rock
Overkill,Men At Work,rock,229466,False,63,185,AU,Rock
Is There Something I Should Know? - 2010 Remaster,Duran Duran,"new wave, synthpop",251893,False,44,172,GB,Rock
Gloria,Laura Branigan,pop,295066,False,61,184,US,Pop
Affair of the Heart,Rick Springfield,power pop,273266,False,23,182,AU,Pop
She's A Beauty,The Tubes,rock,237240,False,45,184,GB,Rock
Solitaire,Laura Branigan,pop,245933,False,33,184,US,Pop
Don't Let It End,Styx,"progressive rock, album rock, classic rock",296106,False,43,184,US,Rock
How Am I Supposed to Live without You,Laura Branigan,pop,263320,False,40,184,US,Pop
China Girl - 2018 Remaster,David Bowie,"art rock, glam rock",333816,False,59,185,Unknown,Rock
Come Dancing,The Kinks,"proto-punk, baroque pop",234853,False,0,0,GB,Rock
"Promises, Promises - Single Edit",Naked Eyes,"new wave, synthpop",225960,False,0,0,GB,Rock
The Other Guy,Little River Band,soft rock,167560,False,0,0,AU,Rock
Making Love Out of Nothing at All,Air Supply,soft rock,341746,False,71,182,AU,Rock
Family Man,Daryl Hall & John Oates,soft rock,204813,False,47,185,US,Rock
Wanna Be Startin' Somethin',Michael Jackson,pop,362373,False,58,185,US,Pop
I Won't Hold You Back,TOTO,soft rock,293306,False,59,185,US,Rock
All Right,Christopher Cross,soft rock,253653,False,59,183,US,Rock
Straight From The Heart,Bryan Adams,rock,211933,False,67,184,CA,Rock
Heart to Heart,Kenny Loggins,pop,322333,False,52,185,US,Pop
My Love,Lionel Richie,motown,244973,False,54,184,US,R&B
I'm Still Standing,Elton John,pop,183440,False,82,184,GB,Pop
Hot Girls In Love,Loverboy,rock,239000,False,41,182,CA,Rock
It's A Mistake,Men At Work,rock,286973,False,56,185,AU,Rock
I'll Tumble 4 Ya,Culture Club,pop,156173,False,47,184,GB,Pop
All This Love,DeBarge,quiet storm,352586,False,56,184,US,R&B
Your Love Is Driving Me Crazy,Sammy Hagar,"album rock, glam metal, classic rock",211226,False,49,184,US,Rock
Heartbreaker,Dionne Warwick,pop,258266,False,59,172,US,Pop
Faithfully,Journey,"album rock, classic rock",267080,False,2,0,US,Rock
Steppin' Out,Joe Jackson,"power pop, new wave",268200,False,54,3,Unknown,Pop
