,Genre,Main Genre
0,Pop,Pop
1,pop,Pop
2,dance pop,Pop
3,pov: indie,Pop
4,k-pop,Pop
5,indonesian pop,Pop
6,latin pop,Pop
7,opm,Pop
8,j-pop,Pop
9,hindi pop,Pop
10,turkish pop,Pop
11,p-pop,Pop
12,alt z,Pop
13,new wave pop,Pop
14,singer-songwriter pop,Pop
15,worship,Pop
16,t-pop,Pop
17,brazilian pop,Pop
18,anime,Pop
19,afropop,Pop
20,synthpop,Pop
21,french pop,Pop
22,eurodance,Pop
23,desi pop,Pop
24,german pop,Pop
25,arabesk,Pop
26,variete francaise,Pop
27,bedroom pop,Pop
28,europop,Pop
29,thai pop,Pop
30,c-pop,Pop
31,indie pop,Pop
32,pinoy indie,Pop
33,punjabi pop,Pop
34,mandopop,Pop
35,post-teen pop,Pop
36,malay pop,Pop
37,ccm,Pop
38,taiwanese pop,Pop
39,hyperpop,Pop
40,uk drill,Pop
41,tamil pop,Pop
42,emo pop,Pop
43,egyptian pop,Pop
44,telugu pop,Pop
45,schlager,Pop
46,v-pop,Pop
47,italo dance,Pop
48,k-ballad,Pop
49,jersey club,Pop
50,sped up,Pop
51,christian pop,Pop
52,nederpop,Pop
53,art pop,Pop
54,spanish pop,Pop
55,colombian pop,Pop
56,uk pop,Pop
57,swedish pop,Pop
58,vocaloid,Pop
59,indietronica,Pop
60,mahraganat,Pop
61,kayokyoku,Pop
62,flamenco pop,Pop
63,malaysian pop,Pop
64,city pop,Pop
65,finnish pop,Pop
66,dream pop,Pop
67,cantopop,Pop
68,chamber pop,Pop
69,italian pop,Pop
70,russian pop,Pop
71,norwegian pop,Pop
72,britpop,Pop
73,trip hop,Pop
74,gufeng,Pop
75,italian adult pop,Pop
76,oyun havasi,Pop
77,hip pop,Pop
78,brega funk,Pop
79,rai,Pop
80,mollywood,Pop
81,gen z singer-songwriter,Pop
82,disco polo,Pop
83,acoustic pop,Pop
84,malayalam pop,Pop
85,electropop,Pop
86,nightcore,Pop
87,girl group,Pop
88,chinese indie,Pop
89,swedish trap pop,Pop
90,haryanvi pop,Pop
91,italo disco,Pop
92,classic country pop,Pop
93,modern country pop,Pop
94,boy band,Pop
95,polish pop,Pop
96,mizrahi,Pop
97,taiwanese indie,Pop
98,pixel,Pop
99,phleng phuea chiwit,Pop
100,luk thung,Pop
101,talent show,Pop
102,ukrainian pop,Pop
103,meme,Pop
104,hardcore techno,Pop
105,marathi pop,Pop
106,dutch rap pop,Pop
107,iskelma,Pop
108,viral pop,Pop
109,indie poptimism,Pop
110,baroque pop,Pop
111,otacore,Pop
112,bangla pop,Pop
113,bubblegum pop,Pop
114,synthwave,Pop
115,weirdcore,Pop
116,albanian pop,Pop
117,latin arena pop,Pop
118,latin viral pop,Pop
119,classic swedish pop,Pop
120,happy hardcore,Pop
121,modern indie pop,Pop
122,dansband,Pop
123,kannada pop,Pop
124,shibuya-kei,Pop
125,czech pop,Pop
126,la pop,Pop
127,bachata pop,Pop
128,vaporwave,Pop
129,danish pop,Pop
130,gujarati pop,Pop
131,social media pop,Pop
132,bhojpuri pop,Pop
133,psychedelic pop,Pop
134,canadian pop,Pop
135,australian pop,Pop
136,mexican pop,Pop
137,power pop,Pop
138,jangle pop,Pop
139,carnaval,Pop
140,hungarian pop,Pop
141,moroccan pop,Pop
142,bossbeat,Pop
143,visual kei,Pop
144,polish viral pop,Pop
145,classic uk pop,Pop
146,thai indie pop,Pop
147,classic russian pop,Pop
148,russian alt pop,Pop
149,lo-fi chill,Pop
150,dutch pop,Pop
151,shimmer pop,Pop
152,persian pop,Pop
153,j-dance,Pop
154,acoustic cover,Pop
155,nyc pop,Pop
156,modern alternative pop,Pop
157,funk pop,Pop
158,nepali pop,Pop
159,dark pop,Pop
160,acoustic chill,Pop
161,swedish idol pop,Pop
162,westcoast flow,Pop
163,la indie,Pop
164,scandipop,Pop
165,spanish indie pop,Pop
166,sinhala pop,Pop
167,barnmusik,Pop
168,hopebeat,Pop
169,neon pop punk,Pop
170,chill pop,Pop
171,country pop,Pop
172,panamanian pop,Pop
173,hands up,Pop
174,turkish alt pop,Pop
175,kazakh viral pop,Pop
176,croatian pop,Pop
177,romanian pop,Pop
178,ukrainian viral pop,Pop
179,lithuanian pop,Pop
180,bow pop,Pop
181,channel pop,Pop
182,escape room,Pop
183,french indie pop,Pop
184,candy pop,Pop
185,kurdish pop,Pop
186,swedish electropop,Pop
187,chill dream pop,Pop
188,kazakh pop,Pop
189,anime score,Pop
190,bosnian pop,Pop
191,belgian pop,Pop
192,muziek voor kinderen,Pop
193,icelandic pop,Pop
194,burmese pop,Pop
195,indie electropop,Pop
196,tontipop,Pop
197,assamese pop,Pop
198,uk alternative pop,Pop
199,soft pop,Pop
200,slovak pop,Pop
201,teen pop,Pop
202,jazz pop,Pop
203,antiviral pop,Pop
204,classic persian pop,Pop
205,kavkaz,Pop
206,nz pop,Pop
207,classic italian pop,Pop
208,kosovan pop,Pop
209,jewish pop,Pop
210,quran,Pop
211,classic israeli pop,Pop
212,south african pop,Pop
213,classic czech pop,Pop
214,dakke dak,Pop
215,canadian electropop,Pop
216,irish pop,Pop
217,odia pop,Pop
218,operatic pop,Pop
219,czsk viral pop,Pop
220,russian dance pop,Pop
221,argentine telepop,Pop
222,italian indie pop,Pop
223,strut,Pop
224,bulgarian pop,Pop
225,russian viral pop,Pop
226,rap marseille,Pop
227,afghan pop,Pop
228,new beat,Pop
229,kodomo no ongaku,Pop
230,arabesque,Pop
231,classic polish pop,Pop
232,nederlandse hardstyle,Pop
233,lds youth,Pop
234,turkish singer-songwriter,Pop
235,estonian pop,Pop
236,classic nepali pop,Pop
237,experimental pop,Pop
238,indonesian viral pop,Pop
239,musical advocacy,Pop
240,australian alternative pop,Pop
241,lustrum,Pop
242,classic icelandic pop,Pop
243,hypnagogic pop,Pop
244,indonesian lo-fi pop,Pop
245,pacific islands pop,Pop
246,classic belgian pop,Pop
247,latvian pop,Pop
248,5th gen k-pop,Pop
249,uzbek pop,Pop
250,classic sinhala pop,Pop
251,cocuk sarkilari,Pop
252,azeri pop,Pop
253,austrian pop,Pop
254,korean ost,Pop
255,australian electropop,Pop
256,danish electropop,Pop
257,islamic recitation,Pop
258,german show tunes,Pop
