name,id,tracks,snapshot_id
2024 Billboard Year End Hot 100,1LSXxWhYAVWWfb847gLIcD,100,AAAAc++zpKWIUKTlieoa/gRNibPV4DLL
2023 Billboard Year End Hot 100,2tpSdD4wfe5elx7iMtxDcF,100,AAAAB87gTepu/bvjDArVZT6EyLxzWuwm
2022 Billboard Year End Hot 100,1P39I532Z3TWDw2ggm3Y7k,100,AAAABb4oYFpT+eGGW0ErkYL6MJUNo1NT
2021 Billboard Year End Hot 100,5pT9DvpEMYtkINr2vOtwmQ,100,AAAACHoGyTdyIdC8LRRn+CQB2e2VsUyR
2020 Billboard Year End Hot 100,7iOLp82ZbOu5I04TrOBeru,100,AAAAC5daewXnRO4y3Ru/5clR81Fiz4rW
2019 Billboard Year End Hot 100,60uWnDLPSMaOXrJOmm1BCn,100,AAAABTEwXq1IZJXhRwn5iglqOuXZ3cYu
2018 Billboard Year End Hot 100,3fG7cr6o7osDoorF7qnb1g,100,AAAABff6XWX3Bpit5lEeuLJXsCrNvjAL
2017 Billboard Year End Hot 100,0mxbQZjOVjC8xFuqBExatn,100,AAAABdMX8Ae6FrdoeRGCyB9/VZUGTA7A
2016 Billboard Year End Hot 100,1KewXQLrI99SJB1fQwx8Sp,100,AAAABTdgNnl5Du8vhmFvbSwkhXM8c38g
2015 Billboard Year End Hot 100,6tYE3NllVJ1yRxZPWkMhAU,100,AAAABfrcFuBCbmOWczdXFGEgKT9D8opN
2014 Billboard Year End Hot 100,1qaEDj0b6V16jR197rBzmR,100,AAAABfqUh7ePQJFyE5Ryk3ZfT7dQlIwq
2013 Billboard Year End Hot 100,3MOm2n36QOgjHQFJgShW1U,100,AAAADoTM0GqTMaw7cibQvEFCbDlOxziA
2012 Billboard Year End Hot 100,7JeO0tsG8jjQDf8TbpduWy,100,AAAAB+MsPOrBJrJDzcmRkJ0MLtLmVZFc
2011 Billboard Year End Hot 100,2MKAzW35dksXrGJDkVqPQR,100,AAAAE7FqFWCspAXDf2ZDtPj4olzReeGA
2010 Billboard Year End Hot 100,3wZJGwQgLkqfuUbUtUq2we,100,AAAAED4IZWn63Btk0AacCkefnzaRRLfG
2009 Billboard Year End Hot 100,59pEYUpfyXGPvJSdAHBSn3,100,AAAAFmrgXZot/9pXkmjW+FkqzBjhT2ZP
2008 Billboard Year End Hot 100,6TV9uCkhaJsmR8EwXLJ3cx,100,AAAABVQ/QCHzciBFxbfDTrixPsQ0ROGg
2007 Billboard Year End Hot 100,2AK4JLpQNAGkxjpMTTPaFR,100,AAAACGAB+azkkOxIjTH4c7reDkoUxL+k
2006 Billboard Year End Hot 100,1N8cxLQ0RMPYfhoO9XnI1B,100,AAAABX1Uu4fRhdHCrm41OKqg7DoE3hfw
2005 Billboard Year End Hot 100,6jSq4f2XHtaoLNe9J7rLBu,100,AAAABQP9daD2UAvNg0RjPHtR8WqifzRb
2004 Billboard Year End Hot 100,6IgLCMn14ybVlpa73JJbw9,100,AAAABTjjqoVZxOyR3GPka8VMBHURc7Ox
