Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",hip hop,235613,True,2,0,"US, US"
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",southern hip hop,263826,True,23,16,"US, US, US"
Radioactive,Imagine Dragons,alternative rock,186813,False,67,2,US
Harlem Shake,Baauer,edm trap,196664,False,50,185,US
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Ray Dalton","hip hop, jazz",258431,False,1,0,"US, US"
Mirrors - Radio Edit,Justin Timberlake,pop,277306,False,55,185,US
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess","pop, indie pop",242733,False,78,185,"US, US"
When I Was Your Man,Bruno Mars,pop,213826,False,83,168,US
Cruise - Remix,"Florida Georgia Line, Nelly","country, pop country, acoustic country",206813,False,37,183,"US, US"
Roar,Katy Perry,pop,223546,False,74,184,US
Locked out of Heaven,Bruno Mars,pop,233478,False,85,168,US
Ho Hey,The Lumineers,"folk pop, indie folk",163106,False,0,0,GB
Stay,"Rihanna, Mikky Ekko",pop,240706,False,63,3,"US, US"
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Pharrell Williams, Nile Rodgers, Thomas Bangalter, Guy-Manuel de Homem-Christo, Daft Punk","electronic, electro, french house",248413,False,74,185,"US, US, Unknown, FR, FR"
Royals,Lorde,pop,190185,False,72,183,NZ
I Knew You Were Trouble.,Taylor Swift,pop,217973,False,56,183,US
We Can't Stop,Miley Cyrus,pop,231240,False,75,185,US
Wrecking Ball,Miley Cyrus,pop,221360,False,75,185,US
Wake Me Up,Avicii,edm,249693,False,43,3,SE
Suit & Tie (feat. JAY-Z),"Justin Timberlake, JAY-Z","hip hop, east coast hip hop, rap",326280,True,61,185,"US, US"
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick,children's music,128013,False,55,2,US
Holy Grail,"JAY-Z, Justin Timberlake","hip hop, east coast hip hop, rap",338413,True,57,183,"US, US"
Scream & Shout,"will.i.am, Britney Spears",pop,283400,True,73,182,"US, US"
Clarity,"Zedd, Foxes",edm,271426,False,71,184,"DE, GB"
Sail,AWOLNATION,alternative rock,259102,False,3,0,US
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",edm,212862,False,75,184,"SE, US"
Diamonds,Rihanna,pop,225200,False,58,165,US
I Love It (feat. Charli XCX),"Icona Pop, Charli xcx","hyperpop, art pop",155337,True,60,112,"SE, Unknown"
Safe And Sound,Capital Cities,electronic,192789,False,22,0,US
Treasure,Bruno Mars,pop,178560,True,75,168,US
The Way,"Ariana Grande, Mac Miller",pop,227026,False,62,183,"US, GB"
Started From the Bottom,Drake,"hip hop, rap",173160,True,34,165,CA
Come & Get It,Selena Gomez,pop,231733,False,46,161,US
"Hold On, We're Going Home","Drake, Majid Jordan","hip hop, rap",227026,False,24,20,"CA, CA"
Daylight,Maroon 5,pop,225400,False,46,4,US
Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera","dance-pop, pop",229506,False,75,171,"US, US"
Applause,Lady Gaga,"pop, art pop",212333,False,73,178,US
One More Night,Maroon 5,pop,219466,False,68,4,US
Love Me,"Lil Wayne, Drake, Future","hip hop, rap",253440,True,1,0,"US, CA, US"
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,"pop punk, emo, emo pop",186826,False,57,4,US
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","hip hop, southern hip hop, west coast hip hop, rap",233786,True,74,185,"US, CA, US, US"
Beauty And A Beat,"Justin Bieber, Nicki Minaj","pop, hip hop",227986,False,73,180,"CA, US"
Same Love (feat. Mary Lambert),"Macklemore & Ryan Lewis, Mary Lambert","hip hop, schlager",320034,False,0,0,"US, DE"
Sweet Nothing (feat. Florence Welch),"Calvin Harris, Florence Welch",edm,212560,False,70,172,"Unknown, GB"
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",edm,214912,False,69,173,"US, FR"
Home,Phillip Phillips,folk pop,210173,False,65,183,US
It's Time,Imagine Dragons,alternative rock,237986,False,61,2,US
Power Trip (feat. Miguel),"J. Cole, Miguel","r&b, rap",240280,True,0,0,"GB, ES"
Girl On Fire (feat. Nicki Minaj) - Inferno Version,"Alicia Keys, Nicki Minaj","neo soul, r&b",270360,False,30,185,"US, US"
Heart Attack,Demi Lovato,pop,211533,False,41,79,US
Love Somebody,Maroon 5,pop,229826,False,47,4,US
I Will Wait,Mumford & Sons,"folk rock, folk, indie folk",276720,False,1,0,GB
Try,P!nk,pop,249733,False,47,185,US
Wagon Wheel,Darius Rucker,country,298373,False,72,184,US
Gangnam Style (강남스타일),PSY,k-pop,219493,False,70,163,KR
I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",edm,234506,False,68,172,"Unknown, GB"
Die Young,Kesha,dance-pop,211920,False,35,185,US
Some Nights,fun.,italo-disco,277040,True,63,146,IT
Bad (feat. Tiara Thomas),"Wale, Tiara Thomas","hip hop, orchestral",255693,True,42,125,"US, NO"
Boys 'Round Here (feat. Pistol Annies & Friends),"Blake Shelton, Pistol Annies",country,288760,False,58,170,"US, US"
"Gone, Gone, Gone",Phillip Phillips,folk pop,209693,False,68,183,US
Demons,Imagine Dragons,alternative rock,175200,False,68,2,US
Counting Stars,OneRepublic,soft pop,257840,False,70,183,US
I Cry,Flo Rida,pop rap,223800,False,63,170,US
Little Talks,Of Monsters and Men,"folk pop, indie folk",266600,False,75,182,IS
The Other Side,Jason Derulo,pop,226986,False,56,111,US
Berzerk,Eminem,"hip hop, rap",238746,True,40,1,US
Catch My Breath,Kelly Clarkson,christmas,251506,False,45,181,US
Crash My Party,Luke Bryan,"country, acoustic country",234760,False,61,184,CA
Pour It Up,Rihanna,pop,161200,True,63,3,US
22,Taylor Swift,pop,230133,False,47,183,US
I Want Crazy - Encore,Hunter Hayes,country,236865,False,54,2,US
The Fox (What Does the Fox Say?),Ylvis,comedy,213708,False,59,172,NO
Best Song Ever,One Direction,boy band,202440,False,0,0,Unknown
The A Team,Ed Sheeran,soft pop,258373,False,28,2,GB
Carry On,fun.,italo-disco,278373,False,50,146,IT
Highway Don't Care,"Tim McGraw, Taylor Swift, Keith Urban",country,276880,False,60,2,"US, US, AU"
That's My Kind Of Night,Luke Bryan,"country, acoustic country",190186,False,67,184,CA
Swimming Pools (Drank),Kendrick Lamar,"hip hop, west coast hip hop",247800,True,77,182,US
Sure Be Cool If You Did,Blake Shelton,country,215720,False,34,31,US
#Beautiful,"Mariah Carey, Miguel","r&b, christmas",199946,True,38,4,"US, ES"
Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida","pop, pop rap",186600,False,0,0,"GB, US"
Body Party,Ciara,r&b,237253,False,34,183,Unknown
Adorn,Miguel,r&b,195520,False,30,177,ES
Hall of Fame (feat. will.i.am),"The Script, will.i.am","rock, hip hop",202533,False,75,183,"GB, US"
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,contemporary r&b,251626,False,64,183,US
"U.O.E.N.O. (feat. Future, Rick Ross)",Rocko,southern hip hop,262857,True,34,185,US
Next To Me,Emeli Sandé,contemporary r&b,196866,False,33,1,GB
Mama's Broken Heart,Miranda Lambert,country,177773,False,62,185,US
It Goes Like This,Thomas Rhett,"country, pop country, acoustic country",186080,False,59,2,US
Bugatti,"Ace Hood, Future, Rick Ross","southern hip hop, rap",269266,True,0,0,"US, US, Unknown"
Wanted,Hunter Hayes,country,228840,False,57,2,US
Downtown,Lady A,"country, pop country",195866,False,53,184,US
Get Your Shine On,Florida Georgia Line,"country, pop country, acoustic country",222013,False,53,5,US
#thatPOWER,"will.i.am, Justin Bieber","hip hop, pop",279506,False,50,182,"US, CA"
Brave,Sara Bareilles,classic pop and rock,220573,False,62,185,US
Let Her Go,Passenger,folk pop,252733,False,0,0,GB
Runnin' Outta Moonlight,Randy Houser,"country, acoustic country",193773,False,0,0,US
I'm Different,2 Chainz,"southern hip hop, rap",207040,True,53,4,US
Still into You,Paramore,"pop punk, emo, emo pop",216013,False,76,140,US
